time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-25 00:00:00+00:00,188,76,37,13
2026-04-26 00:00:00+00:00,139,51,24,18
2026-04-27 00:00:00+00:00,148,52,10,5
2026-04-28 00:00:00+00:00,25,12,15,1
2026-04-29 00:00:00+00:00,4,4,9,6
2026-04-30 00:00:00+00:00,3,3,1,1
2026-05-01 00:00:00+00:00,76,24,11,4
2026-05-02 00:00:00+00:00,30,12,2,1
2026-05-03 00:00:00+00:00,39,14,1,1
2026-05-04 00:00:00+00:00,53,16,1,1
2026-05-05 00:00:00+00:00,49,12,3,1
2026-05-06 00:00:00+00:00,16,5,2,1
2026-05-07 00:00:00+00:00,28,9,1,1
2026-05-08 00:00:00+00:00,44,13,1,1
